Groups:
u_IMU/r_SM_IMU[7:0] =, u_IMU/r_SM_IMU.idle, u_IMU/r_SM_IMU.assert_cs, u_IMU/r_SM_IMU.send_addr, u_IMU/r_SM_IMU.wait_addr_rx, u_IMU/r_SM_IMU.wait_data_rx, u_IMU/r_SM_IMU.send_dummy, u_IMU/r_SM_IMU.release_cs, u_IMU/r_SM_IMU.done, ,
u_IMU/i_RX_Byte[7:0] =, u_IMU/i_RX_Byte[7], u_IMU/i_RX_Byte[6], u_IMU/i_RX_Byte[5], u_IMU/i_RX_Byte[4], u_IMU/i_RX_Byte[3], u_IMU/i_RX_Byte[2], u_IMU/i_RX_Byte[1], u_IMU/i_RX_Byte[0], ,
u_IMU/r_Cnt[5:0] =, u_IMU/r_Cnt[5], u_IMU/r_Cnt[4], u_IMU/r_Cnt[3], u_IMU/r_Cnt[2], u_IMU/r_Cnt[1], u_IMU/r_Cnt[0], ,
w_IMU_TX_Byte[7:0] =, w_IMU_TX_Byte[7], w_IMU_TX_Byte[6], w_IMU_TX_Byte[5], w_IMU_TX_Byte[4], w_IMU_TX_Byte[3], w_IMU_TX_Byte[2], w_IMU_TX_Byte[1], w_IMU_TX_Byte[0], ,
u_IMU/r_WHOAMI_Reg[7:0] =, u_IMU/r_WHOAMI_Reg[7], u_IMU/r_WHOAMI_Reg[6], u_IMU/r_WHOAMI_Reg[5], u_IMU/r_WHOAMI_Reg[4], u_IMU/r_WHOAMI_Reg[3], u_IMU/r_WHOAMI_Reg[2], u_IMU/r_WHOAMI_Reg[1], u_IMU/r_WHOAMI_Reg[0], ,

Data:
time unit: us, u_IMU/r_SM_IMU[7:0], u_IMU/r_SM_IMU.idle, u_IMU/r_SM_IMU.assert_cs, u_IMU/r_SM_IMU.send_addr, u_IMU/r_SM_IMU.wait_addr_rx, u_IMU/r_SM_IMU.wait_data_rx, u_IMU/r_SM_IMU.send_dummy, u_IMU/r_SM_IMU.release_cs, u_IMU/r_SM_IMU.done, o_IMU_CS_n, u_IMU/o_TX_DV, w_IMU_TX_Ready, w_IMU_RX_DV, u_IMU/i_RX_Byte[7:0], u_IMU/i_RX_Byte[7], u_IMU/i_RX_Byte[6], u_IMU/i_RX_Byte[5], u_IMU/i_RX_Byte[4], u_IMU/i_RX_Byte[3], u_IMU/i_RX_Byte[2], u_IMU/i_RX_Byte[1], u_IMU/i_RX_Byte[0], u_IMU_MASTER/o_SPI_Clk, u_IMU_MASTER/i_SPI_MISO, u_IMU_MASTER/o_SPI_MOSI, u_IMU/r_Cnt[5:0], u_IMU/r_Cnt[5], u_IMU/r_Cnt[4], u_IMU/r_Cnt[3], u_IMU/r_Cnt[2], u_IMU/r_Cnt[1], u_IMU/r_Cnt[0], w_IMU_TX_Byte[7:0], w_IMU_TX_Byte[7], w_IMU_TX_Byte[6], w_IMU_TX_Byte[5], w_IMU_TX_Byte[4], w_IMU_TX_Byte[3], w_IMU_TX_Byte[2], w_IMU_TX_Byte[1], w_IMU_TX_Byte[0], u_IMU/r_WHOAMI_Reg[7:0], u_IMU/r_WHOAMI_Reg[7], u_IMU/r_WHOAMI_Reg[6], u_IMU/r_WHOAMI_Reg[5], u_IMU/r_WHOAMI_Reg[4], u_IMU/r_WHOAMI_Reg[3], u_IMU/r_WHOAMI_Reg[2], u_IMU/r_WHOAMI_Reg[1], u_IMU/r_WHOAMI_Reg[0],
0, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X,
1, 40, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 00, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 01, 0, 0, 0, 0, 0, 1, 00, 0, 0, 0, 0, 0, 0, 0, 0, 00, 0, 0, 0, 0, 0, 0, 0, 0,
2, 40, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 00, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 02, 0, 0, 0, 0, 1, 0, 00, 0, 0, 0, 0, 0, 0, 0, 0, 00, 0, 0, 0, 0, 0, 0, 0, 0,
3, 40, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 00, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 03, 0, 0, 0, 0, 1, 1, 00, 0, 0, 0, 0, 0, 0, 0, 0, 00, 0, 0, 0, 0, 0, 0, 0, 0,
4, 40, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 00, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 04, 0, 0, 0, 1, 0, 0, 00, 0, 0, 0, 0, 0, 0, 0, 0, 00, 0, 0, 0, 0, 0, 0, 0, 0,
5, 40, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 00, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 05, 0, 0, 0, 1, 0, 1, 00, 0, 0, 0, 0, 0, 0, 0, 0, 00, 0, 0, 0, 0, 0, 0, 0, 0,
6, 40, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 00, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 06, 0, 0, 0, 1, 1, 0, 00, 0, 0, 0, 0, 0, 0, 0, 0, 00, 0, 0, 0, 0, 0, 0, 0, 0,
7, 40, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 00, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 07, 0, 0, 0, 1, 1, 1, 00, 0, 0, 0, 0, 0, 0, 0, 0, 00, 0, 0, 0, 0, 0, 0, 0, 0,
8, 40, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 00, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 08, 0, 0, 1, 0, 0, 0, 00, 0, 0, 0, 0, 0, 0, 0, 0, 00, 0, 0, 0, 0, 0, 0, 0, 0,
9, 40, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 00, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 09, 0, 0, 1, 0, 0, 1, 00, 0, 0, 0, 0, 0, 0, 0, 0, 00, 0, 0, 0, 0, 0, 0, 0, 0,
10, 40, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 00, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0A, 0, 0, 1, 0, 1, 0, 00, 0, 0, 0, 0, 0, 0, 0, 0, 00, 0, 0, 0, 0, 0, 0, 0, 0,
11, 40, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 00, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0B, 0, 0, 1, 0, 1, 1, 00, 0, 0, 0, 0, 0, 0, 0, 0, 00, 0, 0, 0, 0, 0, 0, 0, 0,
12, 40, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 00, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0C, 0, 0, 1, 1, 0, 0, 00, 0, 0, 0, 0, 0, 0, 0, 0, 00, 0, 0, 0, 0, 0, 0, 0, 0,
13, 40, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 00, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0D, 0, 0, 1, 1, 0, 1, 00, 0, 0, 0, 0, 0, 0, 0, 0, 00, 0, 0, 0, 0, 0, 0, 0, 0,
14, 40, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 00, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0E, 0, 0, 1, 1, 1, 0, 00, 0, 0, 0, 0, 0, 0, 0, 0, 00, 0, 0, 0, 0, 0, 0, 0, 0,
